output for Psykhe - Zloveleen

total  dmg:220982 cost:1800 hits:762
Overpower   dmg:-2686 cost:0 hits:-2
Whirlwind   dmg:942 cost:25 hits:1
hit   dmg:1913 cost:0 hits:4

Viscidus   dmg:13764 cost:80 hits:32
Deep Wound   dmg:-23 cost:0 hits:-4
Execute   dmg:5617 cost:195 hits:13
Frostbolt   dmg:248 cost:0 hits:12
Hamstring   dmg:-183 cost:-140 hits:-14
Whirlwind   dmg:264 cost:25 hits:1
hit   dmg:7841 cost:0 hits:24

Yauj Brood   dmg:2030 cost:0 hits:1
Cleave   dmg:783 cost:0 hits:0
Deep Wound   dmg:75 cost:0 hits:-1
Whirlwind   dmg:1172 cost:0 hits:2
